Random Seed = 56
77 13 90 79
Reading cmse2.txt
Reading in 50x50 array
Done with Generation 155 with best=1 fitness=278
Done with Generation 156 with best=1 fitness=278
Done with Generation 157 with best=1 fitness=278
Done with Generation 158 with best=1 fitness=278
Done with Generation 159 with best=1 fitness=278
Done with Generation 160 with best=1 fitness=278
Done with Generation 161 with best=1 fitness=278
Done with Generation 162 with best=1 fitness=278
Done with Generation 163 with best=1 fitness=278
Done with Generation 164 with best=1 fitness=278
Done with Generation 165 with best=1 fitness=278
Done with Generation 166 with best=1 fitness=278
Done with Generation 167 with best=1 fitness=278
Done with Generation 168 with best=1 fitness=278
Done with Generation 169 with best=1 fitness=278
Done with Generation 170 with best=1 fitness=278
Done with Generation 171 with best=1 fitness=278
Done with Generation 172 with best=1 fitness=278
Done with Generation 173 with best=1 fitness=278
Done with Generation 174 with best=1 fitness=278
Done with Generation 175 with best=1 fitness=278
Done with Generation 176 with best=1 fitness=278
Done with Generation 177 with best=1 fitness=278
Done with Generation 178 with best=1 fitness=278
Done with Generation 179 with best=1 fitness=278
Done with Generation 180 with best=1 fitness=278
Done with Generation 181 with best=1 fitness=278
Done with Generation 182 with best=1 fitness=278
Done with Generation 183 with best=1 fitness=278
Done with Generation 184 with best=1 fitness=278
Done with Generation 185 with best=1 fitness=278
Done with Generation 186 with best=1 fitness=278
Done with Generation 187 with best=1 fitness=278
Done with Generation 188 with best=1 fitness=278
Done with Generation 189 with best=1 fitness=278
Done with Generation 190 with best=1 fitness=278
Done with Generation 191 with best=1 fitness=278
Done with Generation 192 with best=1 fitness=278
Done with Generation 193 with best=1 fitness=278
Done with Generation 194 with best=1 fitness=278
Done with Generation 195 with best=1 fitness=278
Done with Generation 196 with best=1 fitness=278
Done with Generation 197 with best=1 fitness=278
Done with Generation 198 with best=1 fitness=278
Done with Generation 199 with best=1 fitness=278
Done with Generation 200 with best=1 fitness=278
Done with Generation 201 with best=1 fitness=278
Done with Generation 202 with best=1 fitness=278
Done with Generation 203 with best=1 fitness=278
Done with Generation 204 with best=1 fitness=278
Done with Generation 205 with best=1 fitness=278
Done with Generation 206 with best=1 fitness=278
Done with Generation 207 with best=1 fitness=278
Done with Generation 208 with best=1 fitness=278
Done with Generation 209 with best=1 fitness=278
Done with Generation 210 with best=1 fitness=278
Done with Generation 211 with best=1 fitness=278
Done with Generation 212 with best=1 fitness=278
Done with Generation 213 with best=1 fitness=278
Done with Generation 214 with best=1 fitness=278
Done with Generation 215 with best=1 fitness=278
Done with Generation 216 with best=1 fitness=278
Done with Generation 217 with best=1 fitness=278
Done with Generation 218 with best=1 fitness=278
Done with Generation 219 with best=1 fitness=278
Done with Generation 220 with best=1 fitness=278
Done with Generation 221 with best=1 fitness=278
Done with Generation 222 with best=1 fitness=278
Done with Generation 223 with best=1 fitness=278
Done with Generation 224 with best=1 fitness=278
Done with Generation 225 with best=1 fitness=278
Done with Generation 226 with best=1 fitness=278
Done with Generation 227 with best=1 fitness=278
Done with Generation 228 with best=1 fitness=278
Done with Generation 229 with best=1 fitness=278
Done with Generation 230 with best=1 fitness=278
Done with Generation 231 with best=1 fitness=278
Done with Generation 232 with best=1 fitness=278
Done with Generation 233 with best=1 fitness=278
Done with Generation 234 with best=1 fitness=278
Done with Generation 235 with best=1 fitness=278
Done with Generation 236 with best=1 fitness=278
Done with Generation 237 with best=1 fitness=278
Done with Generation 238 with best=1 fitness=278
Done with Generation 239 with best=1 fitness=278
Done with Generation 240 with best=1 fitness=278
Done with Generation 241 with best=1 fitness=278
Done with Generation 242 with best=1 fitness=278
